用途,成交日期,成交价格,受让单位
R2二类居住用地、B1商业用地、F3其他类多功能用地、A4体育用地、A33基础教育用地,2017-02-16,232500,北京中海地产有限公司、北京首都开发股份有限公司、保利（北京）房地产开发有限公司和北京龙湖中佰置业有限公司联合体
B12市场用地、F1住宅混合公建用地、R2二类居住用地,2017-02-16,181000,北京辉拓置业有限公司和北京瑞成永创科技有限公司联合体
R2二类居住用地,2017-01-26,172800,北京中瑞凯华投资管理有限公司、北京龙湖天行置业有限公司、保利（北京）房地产开发有限公司和北京首都开发股份有限公司联合体
F1住宅混合公建用地,2017-01-26,39000,北京众美房地产开发有限公司
S4社会停车场用地、B4综合性商业金融服务业用地、R2二类居住用地、B1商业用地、F1住宅混合公建用地,2017-01-19,633000,北京京投置地房地产有限公司、北京首都开发股份有限公司、保利（北京）房地产开发有限公司、北京龙湖天行置业有限公司和北京德俊置业有限公司联合体
工业用地,2017-01-23,5625.6282,纳微矽磊国际科技（北京）有限公司
R2二类居住用地、A33基础教育用地,2016-12-28,615200,北京星火房地产开发有限责任公司
R2二类居住用地,2016-12-20,81500,北京韩村河房地产开发有限公司
F3其他类多功能用地,2016-12-20,103020,北京筑兴房地产开发有限公司
B23研发设计用地,2016-12-07,220000,北京保险产业园投资控股有限责任公司
B23研发设计用地,2016-12-07,135000,北京京石科园置业发展有限公司
B4综合性商业金融服务业、S32公交场站设施用地,2016-11-28,378000,北京龙湖天行置业有限公司和北京首都开发股份有限公司联合体
B4综合性商业金融服务业用地,2016-11-28,51300,北京旭辉合创投资有限公司
M1一类工业用地,2016-11-28,4456,北京中关村前沿技术产业发展有限公司
M1一类工业用地,2016-11-28,7505,北京环宇京辉京城气体科技有限公司
R2二类居住用地,2016-12-01,500000,北京万科企业有限公司
R2二类居住用地、A33基础教育用地,2016-12-01,367500,中铁房地产集团北方有限公司
R2二类居住、B11零售商业用地,2016-11-17,576000,中粮地产（北京）有限公司、北京中瑞凯华投资管理有限公司和北京天恒乐活城置业有限公司联合体
R2二类居住用地,2016-11-02,215000,中铁置业集团北京有限公司
R2二类居住、B11零售商业用地,2016-12-01,590000,北京万科企业有限公司和北京金第房地产开发有限责任公司联合体
,2016-10-25,1798,北京世纪澄通电子有限公司
工业用地,2016-10-24,16807.7916,北京屹唐集成电路科技有限公司
R2二类居住用地,2016-10-09,211000,北京博大新元房地产开发有限公司
工业用地,2016-09-18,13199.0904,中国机动车辆安全鉴定检测中心
